conname,child_schema,child_table,parent_schema,parent_table,on_update,on_delete,constraintdef,child_total_bytes,child_live_tup,child_upd,child_del,parent_upd,parent_del,has_covering_index
pmt_property_collection_collection_fkey,plm,pmt_property_collection,plm,pmt_collection,a,r,"FOREIGN KEY (capture_id, collection_source_id) REFERENCES plm.pmt_collection(capture_id, collection_source_id) ON DELETE RESTRICT",614400,0,0,0,0,0,True
pmt_property_collection_property_fkey,plm,pmt_property_collection,plm,pmt_property,a,r,"FOREIGN KEY (capture_id, property_source_id) REFERENCES plm.pmt_property(capture_id, property_source_id) ON DELETE RESTRICT",614400,0,0,0,0,0,True
peanuts_asset_holiday_asset_fkey,plm,peanuts_asset_holiday,plm,peanuts_asset,a,r,"FOREIGN KEY (capture_id, source_object_id) REFERENCES plm.peanuts_asset(capture_id, source_object_id) ON DELETE RESTRICT",589824,0,0,0,0,0,True
peanuts_asset_holiday_value_fkey,plm,peanuts_asset_holiday,plm,peanuts_holiday,a,r,"FOREIGN KEY (capture_id, holiday_key) REFERENCES plm.peanuts_holiday(capture_id, value_key) ON DELETE RESTRICT",589824,0,0,0,0,0,True
pmt_collection_capture_id_fkey,plm,pmt_collection,plm,pmt_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.pmt_capture(capture_id) ON DELETE RESTRICT,589824,0,0,0,0,0,True
pmt_capture_batch_capture_id_fkey,plm,pmt_capture_batch,plm,pmt_capture,a,r,FOREIGN KEY (capture_id) REFERENCES plm.pmt_capture(capture_id) ON DELETE RESTRICT,581632,0,0,0,0,0,True
revision_request_submission_id_fkey,pim,revision_request,pim,product_submission,a,n,FOREIGN KEY (submission_id) REFERENCES pim.product_submission(id) ON DELETE SET NULL,548864,0,0,0,0,0,False
revision_request_requested_by_profile_id_fkey,pim,revision_request,app,profile,a,n,FOREIGN KEY (requested_by_profile_id) REFERENCES app.profile(id) ON DELETE SET NULL,548864,0,0,0,0,0,False
revision_request_product_id_fkey,pim,revision_request,pim,product,a,c,FOREIGN KEY (product_id) REFERENCES pim.product(id) ON DELETE CASCADE,548864,0,0,0,0,0,False
dcp_property_licensor_resolution_supersedes_fk,plm,dcp_property_licensor_resolution,plm,dcp_property_licensor_resolution,a,r,"FOREIGN KEY (source_system, source_property_id, supersedes_resolution_id) REFERENCES plm.dcp_property_licensor_resolution(source_system, source_property_id, resolution_id) ON DELETE RESTRICT",540672,0,0,0,0,0,False
peanuts_style_guide_character_guide_fkey,plm,peanuts_style_guide_character,plm,peanuts_style_guide,a,r,"FOREIGN KEY (capture_id, style_guide_key) REFERENCES plm.peanuts_style_guide(capture_id, value_key) ON DELETE RESTRICT",524288,0,0,0,0,0,True
peanuts_style_guide_character_character_fkey,plm,peanuts_style_guide_character,plm,peanuts_character,a,r,"FOREIGN KEY (capture_id, character_key) REFERENCES plm.peanuts_character(capture_id, value_key) ON DELETE RESTRICT",524288,0,0,0,0,0,False
art_piece_age_group_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (age_group_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_style_guide_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (style_guide_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_property_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (property_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_little_theme_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (little_theme_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_licensor_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (licensor_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_big_theme_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (big_theme_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_artist_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (artist_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,True
art_piece_art_type_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (art_type_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_art_source_id_fkey,dflow,art_piece,dflow,merchGroup,a,a,"FOREIGN KEY (art_source_id) REFERENCES dflow.""merchGroup""(mg_id)",491520,0,0,0,0,0,False
art_piece_season_code_id_fkey,dflow,art_piece,dflow,SeasonCode,a,a,"FOREIGN KEY (season_code_id) REFERENCES dflow.""SeasonCode""(id)",491520,0,0,0,0,0,False
art_piece_divisioncode_id_fkey,dflow,art_piece,dflow,divisionCode,a,a,"FOREIGN KEY (divisioncode_id) REFERENCES dflow.""divisionCode""(""divCode_id"")",491520,0,0,0,0,0,True
art_piece_updated_by_fkey,dflow,art_piece,dflow,users,a,a,FOREIGN KEY (updated_by) REFERENCES dflow.users(id),491520,0,0,0,25,0,True
art_piece_created_by_fkey,dflow,art_piece,dflow,users,a,a,FOREIGN KEY (created_by) REFERENCES dflow.users(id),491520,0,0,0,25,0,True
coke_asset_tag_capture_id_tag_key_fkey,plm,coke_asset_tag,plm,coke_tag,a,a,"FOREIGN KEY (capture_id, tag_key) REFERENCES plm.coke_tag(capture_id, tag_key)",483328,0,0,0,0,0,False
coke_asset_tag_capture_id_asset_id_fkey,plm,coke_asset_tag,plm,coke_asset,a,a,"FOREIGN KEY (capture_id, asset_id) REFERENCES plm.coke_asset(capture_id, asset_id)",483328,0,0,0,0,0,True
coke_approval_item_capture_id_fkey,plm,coke_approval_item,plm,coke_capture,a,a,FOREIGN KEY (capture_id) REFERENCES plm.coke_capture(id),458752,0,0,0,0,0,True
sega_character_property_inferred_property_fkey,plm,sega_character_property_inferred,plm,sega_property,a,r,"FOREIGN KEY (capture_id, property_source_id) REFERENCES plm.sega_property(capture_id, property_source_id) ON DELETE RESTRICT",450560,0,0,0,0,0,True
sega_character_property_inferred_candidate_fkey,plm,sega_character_property_inferred,plm,sega_character_candidate,a,r,"FOREIGN KEY (capture_id, character_candidate_key) REFERENCES plm.sega_character_candidate(capture_id, character_candidate_key) ON DELETE RESTRICT",450560,0,0,0,0,0,True
sega_character_property_inferred_evidence_fkey,plm,sega_character_property_inferred,plm,sega_character_evidence,a,r,"FOREIGN KEY (capture_id, character_candidate_key, evidence_key) REFERENCES plm.sega_character_evidence(capture_id, character_candidate_key, evidence_key) ON DELETE RESTRICT",450560,0,0,0,0,0,True
art_piece_big_theme_id_fkey,designflow_frozen_20260710,art_piece,core,merchGroup,a,a,"FOREIGN KEY (big_theme_id) REFERENCES core.""merchGroup""(mg_id)",442368,0,0,0,0,0,False
art_piece_licensor_id_fkey,designflow_frozen_20260710,art_piece,core,merchGroup,a,a,"FOREIGN KEY (licensor_id) REFERENCES core.""merchGroup""(mg_id)",442368,0,0,0,0,0,False
art_piece_season_code_id_fkey,designflow_frozen_20260710,art_piece,plm,SeasonCode,a,a,"FOREIGN KEY (season_code_id) REFERENCES plm.""SeasonCode""(id)",442368,0,0,0,0,0,False
art_piece_divisioncode_id_fkey,designflow_frozen_20260710,art_piece,plm,divisionCode,a,a,"FOREIGN KEY (divisioncode_id) REFERENCES plm.""divisionCode""(""divCode_id"")",442368,0,0,0,0,0,True
art_piece_created_by_fkey,designflow_frozen_20260710,art_piece,app,users,a,a,FOREIGN KEY (created_by) REFERENCES app.users(id),442368,0,0,0,0,0,True
art_piece_style_guide_id_fkey,designflow_frozen_20260710,art_piece,core,merchGroup,a,a,"FOREIGN KEY (style_guide_id) REFERENCES core.""merchGroup""(mg_id)",442368,0,0,0,0,0,False
