schema,table_name,index_name,indexdef,is_unique,is_primary,is_valid,is_ready,is_partial,has_expressions,key_atts,total_atts,constraint_owned,constraint_type,index_bytes,idx_scan,idx_tup_read,idx_tup_fetch,last_idx_scan
plm,nbcu_asset_style_guide,nbcu_asset_style_guide_pkey,"CREATE UNIQUE INDEX nbcu_asset_style_guide_pkey ON plm.nbcu_asset_style_guide USING btree (capture_id, asset_source_key, style_guide_key)",True,True,True,True,False,False,3,3,True,p,33390592,0,0,0,
plm,dcp_metadata_asset,idx_dcp_metadata_asset_normalized_hash,"CREATE INDEX idx_dcp_metadata_asset_normalized_hash ON plm.dcp_metadata_asset USING btree (dcp_asset_id, normalized_hash) WHERE (normalized_hash IS NOT NULL)",False,False,True,True,True,False,2,2,False,,32227328,0,0,0,
public,style_guide_tagging_state,idx_style_guide_tagging_state_work,"CREATE INDEX idx_style_guide_tagging_state_work ON public.style_guide_tagging_state USING btree (pipeline, status, style_guide_file_id)",False,False,True,True,False,False,3,3,False,,31047680,36962,57106355,0,2026-09-04 17:30:11.246708-04
plm,dcp_asset_character_observation,dcp_asset_character_obs_pkey,"CREATE UNIQUE INDEX dcp_asset_character_obs_pkey ON plm.dcp_asset_character_observation USING btree (metadata_run_id, dcp_asset_id, dcp_character_id)",True,True,True,True,False,False,3,3,True,p,29941760,0,0,0,
plm,dcp_asset_property_observation,idx_dcp_asset_property_obs_property_asset,"CREATE INDEX idx_dcp_asset_property_obs_property_asset ON plm.dcp_asset_property_observation USING btree (dcp_property_id, dcp_asset_id)",False,False,True,True,False,False,2,2,False,,29622272,3004,11163758,617091,2026-09-02 22:13:21.949045-04
public,dam_search_documents,idx_dam_search_documents_title_trgm,CREATE INDEX idx_dam_search_documents_title_trgm ON public.dam_search_documents USING gin (title extensions.gin_trgm_ops),False,False,True,True,False,False,1,1,False,,28024832,63,49856,0,2026-08-31 19:44:46.985805-04
plm,nbcu_asset,idx_nbcu_asset_raw_gin,CREATE INDEX idx_nbcu_asset_raw_gin ON plm.nbcu_asset USING gin (raw),False,False,True,True,False,False,1,1,False,,27598848,0,0,0,
public,dam_search_documents,dam_search_embedding_claim_idx,"CREATE INDEX dam_search_embedding_claim_idx ON public.dam_search_documents USING btree (indexed_at, document_type, entity_id) WHERE (embedding IS NULL)",False,False,True,True,True,False,3,3,False,,27017216,4336,133920,15243,2026-09-01 18:29:40.095039-04
public,dam_search_documents,idx_dam_search_documents_embedding_hnsw,CREATE INDEX idx_dam_search_documents_embedding_hnsw ON public.dam_search_documents USING hnsw (embedding extensions.vector_cosine_ops) WHERE (embedding IS NOT NULL),False,False,True,True,True,False,1,1,False,,26640384,0,0,0,
plm,dcp_metadata_asset,dcp_metadata_asset_pkey,"CREATE UNIQUE INDEX dcp_metadata_asset_pkey ON plm.dcp_metadata_asset USING btree (metadata_run_id, dcp_asset_id)",True,True,True,True,False,False,2,2,True,p,26222592,0,0,0,
