character,legacy_licensor_id,appearances,candidate_codes,style_guides,reason,chosen_mg06_code
Mimic,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Moonstar,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Morph,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Multiple Man,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Mystique,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Otto Octavius,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Harry Osborn,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Norman Osborn,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Ben Parker,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Mayday Parker,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man Animated Movie 2022 ,"Equally specific, equally frequent property codes: MU, SP",
Peni Parker,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man Animated Movie 2022 ,"Equally specific, equally frequent property codes: MU, SP",
Pixie,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Ben Reilly,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Robbie Robertson,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Sabretooth,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Sauron,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Shadow King,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Shriek,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Silver Samurai,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Spider Slayer,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Spider-Goblin,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Spider-Jameson,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Spiders Man,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Stepford Cuckoos,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Symbiote Spider-Man,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Flash Thompson,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Thundra,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Toad,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Tombstone,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Toxin,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Bolivar Trask,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Unus,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Anna Watson,3,2,MU(MUPPETS)x1 | SP(SPIDER MAN)x1,Marvel Universe | Spider-Man,"Equally specific, equally frequent property codes: MU, SP",
Weapon X,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Wolfsbane,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
X-Man,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
X-Men,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Xorn,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
Gin Yashida,3,2,MU(MUPPETS)x1 | XM(X-MEN)x1,Marvel Universe | X-Men Classic,"Equally specific, equally frequent property codes: MU, XM",
