styleGuide,characterName,identityName,metadata
Avengers,"Banner, Bruce ( Avengers )",Bruce Banner,"{""source_character_name"":""Banner, Bruce ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""518035993"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Barnes, Bucky ( Avengers )",Bucky Barnes,"{""source_character_name"":""Barnes, Bucky ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""518035994"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Baron Blood ( Avengers ),Baron Blood,"{""source_character_name"":""Baron Blood ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152493"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Batroc the Leaper ( Avengers ),Batroc the Leaper,"{""source_character_name"":""Batroc the Leaper ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035995"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Black Knight ( Avengers ),Black Knight,"{""source_character_name"":""Black Knight ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151419"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Black Panther ( Avengers ),Black Panther,"{""source_character_name"":""Black Panther ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035996"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Black Widow ( Avengers ),Black Widow,"{""source_character_name"":""Black Widow ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033983"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Blade ( Avengers ),Blade,"{""source_character_name"":""Blade ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151422"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Captain America ( Avengers ),Captain America,"{""source_character_name"":""Captain America ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518033984"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Captain America (Sam Wilson) ( Avengers ),Captain America (Sam Wilson),"{""source_character_name"":""Captain America (Sam Wilson) ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159152494"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Captain Marvel ( Avengers ),Captain Marvel,"{""source_character_name"":""Captain Marvel ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035997"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Chitauri ( Avengers ),Chitauri,"{""source_character_name"":""Chitauri ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""518035265"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,Chloe ( Avengers ),Chloe,"{""source_character_name"":""Chloe ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""PRIMARY_ONLY""],""source_character_id"":""1159151425"",""rendition"":{""guide_context"":""Avengers""}}"
Avengers,"Coulson, Phil ( Avengers )",Phil Coulson,"{""source_character_name"":""Coulson, Phil ( Avengers )"",""identity_rules"":[""STRIP_GUIDE_CONTEXT"",""INVERT_SURNAME_FIRST"",""PRIMARY_ONLY""],""source_character_id"":""518035998"",""rendition"":{""guide_context"":""Avengers""}}"
