licenselist_code,universe_b_id,universe_b_name,universe_b_source_key,portal,portal_label,portal_source_id
NU,10349,"THE LAND BEFORE TIME",def197e7-0b87-4a60-8d76-7433af07118b,NBCU Creative Asset Factory,"THE LAND BEFORE TIME",1213
NU,10350,"THE LITTLE RED CABOOSE (1953 LITTLE GOLDEN BOOK)",06331a36-78d8-4c73-96d1-978ed948e1ab,NBCU Creative Asset Factory,"THE LITTLE RED CABOOSE (1953 LITTLE GOLDEN BOOK)",3757
NU,10351,"THE LITTLE RED HEN (1954 LITTLE GOLDEN BOOK)",7567b4db-2ffa-4a71-9f73-edd02511437c,NBCU Creative Asset Factory,"THE LITTLE RED HEN (1954 LITTLE GOLDEN BOOK)",3807
NU,10352,"THE LIVELY LITTLE RABBIT (1943 LITTLE GOLDEN BOOK)",37a02a12-1b30-4e61-b040-664c65c8b993,NBCU Creative Asset Factory,"THE LIVELY LITTLE RABBIT (1943 LITTLE GOLDEN BOOK)",3758
NU,10353,"THE LOST WORLD: JURASSIC PARK",5ea9543f-72d3-4637-a406-6c0c70e924f8,NBCU Creative Asset Factory,"THE LOST WORLD: JURASSIC PARK",1253
NU,10354,"THE MUNSTERS",5c051c3b-7d11-44b6-ac41-c117e2cfe452,NBCU Creative Asset Factory,"THE MUNSTERS",1271
NU,10355,"THE OFFICE",ecf1dd95-ff3f-4f87-bea0-d66d452f25a4,NBCU Creative Asset Factory,"THE OFFICE",2084
NU,10356,"THE POKY LITTLE PUPPY (1942 LITTLE GOLDEN BOOK)",4e8fce86-9a0d-4f7c-9de0-f2e6aad91bd3,NBCU Creative Asset Factory,"THE POKY LITTLE PUPPY (1942 LITTLE GOLDEN BOOK)",3763
NU,10357,"THE SAGGY BAGGY ELEPHANT (1947 LITTLE GOLDEN BOOK)",6aa5eb4c-8ba1-4c6c-b535-9acf897a76ca,NBCU Creative Asset Factory,"THE SAGGY BAGGY ELEPHANT (1947 LITTLE GOLDEN BOOK)",3767
NU,10358,"THE SHY LITTLE KITTEN (1946 LITTLE GOLDEN BOOK)",7b30a987-1a4d-4771-9b3f-466b74e999e8,NBCU Creative Asset Factory,"THE SHY LITTLE KITTEN (1946 LITTLE GOLDEN BOOK)",3769
NU,10359,"THE THREE BEARS (1948 LITTLE GOLDEN BOOK)",570f2bee-2d87-4b0e-9a66-241a44a33f7c,NBCU Creative Asset Factory,"THE THREE BEARS (1948 LITTLE GOLDEN BOOK)",3794
NU,10360,"TOOTLE THE TRAIN (1945 LITTLE GOLDEN BOOK)",ff8b7165-de98-4b8f-8c90-b9c1141f95ed,NBCU Creative Asset Factory,"TOOTLE THE TRAIN  (1945 LITTLE GOLDEN BOOK)",3809
NU,10361,"TROLLS (2016)",18bdbbb9-f573-43c7-a8e7-0727eefd93b6,NBCU Creative Asset Factory,"Trolls (2016)",3554
NU,10362,"TROLLS 3",4a5f36f6-1db8-4a49-a663-15c56a31eb9b,NBCU Creative Asset Factory,"TROLLS 3",5547
NU,10363,"TROLLS FRANCHISE ASSET",aa21ed43-d79a-41fe-a356-f1f51b95307a,NBCU Creative Asset Factory,"TROLLS FRANCHISE ASSET",4090
NU,10364,"TROLLS TOPIA",489707f5-28a1-4483-80c0-176f29e1a00c,NBCU Creative Asset Factory,"TROLLS TOPIA",5166
NU,10365,"TROLLS WORLD TOUR",f3222b46-a38e-46e4-9efe-ff67a5c0404b,NBCU Creative Asset Factory,"TROLLS WORLD TOUR",4086
NU,10366,"TROLLS: THE BEAT GOES ON",28883126-6def-4f9b-88c9-4ad9a33eb3fa,NBCU Creative Asset Factory,"TROLLS: THE BEAT GOES ON",3702
NU,10367,"UP AND DOWN BOOK (LITTLE GOLDEN BOOK)",8b32a2af-1902-4851-993b-7867bb5f3adc,NBCU Creative Asset Factory,"UP AND DOWN BOOK  (LITTLE GOLDEN BOOK)",3796
NU,10368,"VOLTRON: DEFENDER OF THE UNIVERSE - LION FORCE - CLASSIC TV",28ac7bfb-5122-4f34-b268-329003ea71dd,NBCU Creative Asset Factory,"VOLTRON: DEFENDER OF THE UNIVERSE - LION FORCE - CLASSIC TV",3650
NU,10369,"VOLTRON: LEGENDARY DEFENDER (2016)",9be184b4-f21d-45b9-8590-c7163eb35e5c,NBCU Creative Asset Factory,"Voltron Legendary Defender (2016)",3649
NU,10370,"WHERE'S WALLY/WHERE'S WALDO (CLASSIC) - LITERARY",883c0b6f-d493-47fd-9c8f-e601bca4266d,NBCU Creative Asset Factory,"WHERE'S WALLY/WHERE'S WALDO  (CLASSIC)  - LITERARY",3799
NU,10371,"WICKED",7c045125-b47e-4283-bb85-bb757f035812,NBCU Creative Asset Factory,"WICKED",5128
NU,10372,"WICKED FRANCHISE ASSET",7714305a-b242-4496-856b-788a4d21dda0,NBCU Creative Asset Factory,"WICKED Franchise Asset",7907
NU,10373,"WICKED: FOR GOOD",9e14a333-8a09-42e3-a613-b8f5b802a7e3,NBCU Creative Asset Factory,"WICKED: FOR GOOD",6367
NU,10374,"WOODY WOODPECKER CLASSIC",51757694-3fbc-413c-b1a1-39bb884a4acf,NBCU Creative Asset Factory,"WOODY WOODPECKER CLASSIC",1193
VM,10425,"90210 (2008)",90210_2008,Paramount Creative Library,(NO NAME MATCH),
VM,10426,"Anchorman 2: The Legend Continues",anchorman_2_the_legend_continues,Paramount Creative Library,(NO NAME MATCH),
VM,10427,"Anchorman: The Legend of Ron Burgundy",anchorman_the_legend_of_ron_burgundy,Paramount Creative Library,"Anchorman: The Legend of Ron Burgundy",1994
VM,10428,"Avatar: The Last Airbender (2005 Animated Series)",avatar_the_last_airbender_2005_animated_series,Paramount Creative Library,(NO NAME MATCH),
VM,10429,"Beverly Hills 90210 (1990)",beverly_hills_90210_1990,Paramount Creative Library,(NO NAME MATCH),
VM,10430,"Cheers",cheers,Paramount Creative Library,"Cheers",22331
VM,10431,"Clueless",clueless,Paramount Creative Library,"Clueless",2375
VM,10432,"Emily in Paris",emily_in_paris,Paramount Creative Library,"Emily in Paris",8502
VM,10433,"Ferris Bueller's Day Off",ferris_bueller_s_day_off,Paramount Creative Library,"Ferris Bueller's Day Off",2553
VM,10434,"Footloose (1984)",footloose_1984,Paramount Creative Library,(NO NAME MATCH),
VM,10435,"Forrest Gump",forrest_gump,Paramount Creative Library,"Forrest Gump",2703
VM,10436,"Garfield - Retro/Classic",garfield_retro_classic,Paramount Creative Library,(NO NAME MATCH),
VM,10437,"Garfield Theatrical 2024",garfield_theatrical_2024,Paramount Creative Library,(NO NAME MATCH),
VM,10438,"Grease",grease,Paramount Creative Library,"Grease",2820
VM,10439,"Happy Days",happy_days,Paramount Creative Library,"Happy Days",18101
VM,10440,"Invader Zim",invader_zim,Paramount Creative Library,"Invader Zim",638
VM,10441,"It's A Wonderful Life (B/W)",it_s_a_wonderful_life_b_w,Paramount Creative Library,(NO NAME MATCH),
VM,10442,"Mean Girls",mean_girls,Paramount Creative Library,"Mean Girls",3025
VM,10443,"Mean Girls (2024)",mean_girls_2024,Paramount Creative Library,"Mean Girls (2024)",55645895
VM,10444,"Mighty Mouse",mighty_mouse,Paramount Creative Library,"Mighty Mouse",18272
VM,10445,"Scream 2022",scream_2022,Paramount Creative Library,"Scream (2022)",24755
VM,10446,"Scream 6 (2023)",scream_6_2023,Paramount Creative Library,(NO NAME MATCH),
VM,10447,"Scream 7 (2026)",scream_7_2026,Paramount Creative Library,(NO NAME MATCH),
VM,10448,"SpongeBob SquarePants",spongebob_squarepants,Paramount Creative Library,"SpongeBob SquarePants",843
VM,10449,"Tales of the Teenage Mutant Ninja Turtles (2024 Series)",tales_of_the_teenage_mutant_ninja_turtles_2024_series,Paramount Creative Library,(NO NAME MATCH),
VM,10450,"Teenage Mutant Ninja Turtles Classic",teenage_mutant_ninja_turtles_classic,Paramount Creative Library,(NO NAME MATCH),
VM,10451,"The Brady Bunch",the_brady_bunch,Paramount Creative Library,(NO NAME MATCH),
VM,10452,"The Godfather",the_godfather,Paramount Creative Library,"The Godfather",9456
VM,10453,"The Twilight Zone (1985)",the_twilight_zone_1985,Paramount Creative Library,"The Twilight Zone (1985)",18133
VM,10454,"The Twilight Zone (2019)",the_twilight_zone_2019,Paramount Creative Library,(NO NAME MATCH),
VM,10455,"Top Gun",top_gun,Paramount Creative Library,"Top Gun",3795
VM,10456,"Top Gun: Maverick",top_gun_maverick,Paramount Creative Library,"Top Gun: Maverick",26160
VM,10457,"Twilight Zone (1959 Series)",twilight_zone_1959_series,Paramount Creative Library,(NO NAME MATCH),
VM,10458,"Yellowstone",yellowstone,Paramount Creative Library,"Yellowstone",1140
