property,licensedPropertyID,optionSourceID,character,characterID,brandPropertyID
"Blade Movie - No Likeness","599","1007","General Family Character (Marvel Universe) ( Blade Movie ) - DO NOT USE","518032993","518032570"
"Blade Movie - With Likeness","721","1007","Blade ( Blade Movie ) - DO NOT USE","518032992","518032570"
"Blade Movie - With Likeness","721","1007","Blade Movie - With Likeness - DO NOT USE","518032572","518032570"
"Blade Movie - With Likeness","721","1007","General Family Character (Marvel Universe) ( Blade Movie ) - DO NOT USE","518032993","518032570"
"Blade Movie 2 - No Likeness","600","1007","Blade ( Blade Movie 2 ) - DO NOT USE","518032994","518032573"
"Blade Movie 2 - No Likeness","600","1007","Blade Movie 2 - No Likeness - DO NOT USE","518032574","518032573"
"Blade Movie 2 - No Likeness","600","1007","General Family Character (Marvel Universe) ( Blade Movie 2 ) - DO NOT USE","518032995","518032573"
"Blade Movie 2 - With Likeness","722","1007","Blade ( Blade Movie 2 ) - DO NOT USE","518032994","518032573"
"Blade Movie 2 - With Likeness","722","1007","Blade Movie 2 - With Likeness - DO NOT USE","518032575","518032573"
"Blade Movie 2 - With Likeness","722","1007","General Family Character (Marvel Universe) ( Blade Movie 2 ) - DO NOT USE","518032995","518032573"
"Blade Movie 3 - No Likeness","601","1007","Blade ( Blade Movie 3 ) - DO NOT USE","518032996","518032576"
"Blade Movie 3 - No Likeness","601","1007","Blade Movie 3 - No Likeness - DO NOT USE","518032577","518032576"
"Blade Movie 3 - No Likeness","601","1007","General Family Character (Marvel Universe) ( Blade Movie 3 ) - DO NOT USE","518032997","518032576"
"Blade Movie 3 - With Likeness","723","1007","Blade ( Blade Movie 3 ) - DO NOT USE","518032996","518032576"
"Blade Movie 3 - With Likeness","723","1007","Blade Movie 3 - With Likeness - DO NOT USE","518032578","518032576"
"Blade Movie 3 - With Likeness","723","1007","General Family Character (Marvel Universe) ( Blade Movie 3 ) - DO NOT USE","518032997","518032576"
"Blaze","206","1007","Blaze","361","104"
"Blossom","418","1007","Blossom","591","209"
"Blossom","418","1007","Grandfather","592","209"
"Blossom","418","1007","Joey Russo","593","209"
"Blossom","418","1007","Mayim Blalik","587","209"
"Blossom","418","1007","Nick Russo","588","209"
"Blossom","418","1007","Six Lemuerre","589","209"
"Blossom","418","1007","Tony Russo","617","209"
"Blossom","418","1007","Vinnie Bonitardi","590","209"
"Bob's Burgers","1159097314","1007","Bob`s Burgers","1159096769","1159097111"
"Bob's Burgers: The Movie","1159111537","1007","Bob`s Burgers: The Movie","1159111532","1159111549"
"Bohemian Rhapsody (2018)","1159098789","1007","Bohemian Rhapsody (2018)","1159098650","1159098689"
"Bolt","500","1007","Bolt","518031956","518031955"
"Bonkers","420","1007","Bonkers","564","197"
"Book of Life","1159097124","1007","Book of Life","1159096854","1159097088"
"Book of Masters","580","1007","Book of Masters - General (No Talent Royalties)","518032464","518032463"
"Book of Masters","580","1007","Book of Masters - Y Kutsenko","518032465","518032463"
"Borat","1159098548","1007","Borat","1159098196","1159098348"
"Brand Spanking New Doug","593","1007","Brand Spanking New Doug","518032519","518032518"
"Brandy & Mr. Whiskers","421","1007","Brandy & Mr. Whiskers","518031816","518031815"
"Brave","586","1007","Brave - General (No Name, Likeness or Voice Royalty)","518032484","518032483"
"Brave Little Tailor","61","1007","Brave Little Tailor","220","29"
"Bremen Town Musicians","62","1007","Bremen Town Musicians","232","39"
"Brickleberry","1159098549","1007","Brickleberry","1159098223","1159098368"
"Bride Wars","1159098550","1007","Bride Wars","1159098211","1159098388"
"Bringing out the dead","207","1007","Bringing out the dead","696","695"
"Brother Bear","112","1007","Brother Bear","518031327","518031326"
"Brother Bear II","113","1007","Brother Bear II","518031909","518031908"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer","1159096836","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - A Benson (Tara)","1159116223","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - A Hannigan (Willow)","1159116475","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - A Head (Rupert)","1159116227","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - C Carpenter (Cordelia)","1159116474","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - D Boreanaz (Angel)","1159116224","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - E Dushku (Faith)","1159116225","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - E Ford (Anya)","1159116449","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - J Landau (Drusilla)","1159116469","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - J Marsters (Spike)","1159116226","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - M Blucas (Riley)","1159116473","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - M Trachtenberg (Dawn)","1159116471","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - N Brendon (Xander)","1159116470","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - S Gellar (Buffy)","1159116228","1159096929"
"Buffy the Vampire Slayer","1159097120","1007","Buffy the Vampire Slayer - S Green (Oz)","1159116472","1159096929"
"Bunk'd","1100","1007","Bunk`d - General (No Name, Likeness or Voice Royalty)","518035728","518035727"
"Bunnytown","517","1007","Bunnytown","518032281","518032280"
"Butch Cassidy and the Sundance Kid","1159098494","1007","Butch Cassidy and the Sundance Kid","1159098234","1159098389"
"Buzz Lightyear of Star Command","422","1007","Buzz Lightyear of Star Command","706","705"
"COSMOS","1159111110","1007","COSMOS","1159110249","1159111109"
"Cadet Kelly","1159101248","1007","Cadet Kelly","1159100964","1159101168"
"Cadet Kelly","1159101248","1007","Cadet Kelly - C Romano (Jennifer)","1159100966","1159101168"
"Cadet Kelly","1159101248","1007","Cadet Kelly - H Duff (Kelly)","1159100965","1159101168"
"Calamity Jane","346","1007","Calamity Jane","470","175"
"Camp Rock","518","1007","Camp Rock","518032241","518032240"
"Camp Rock","518","1007","Camp Rock - A Doyle (Lola)","518032301","518032240"
"Camp Rock","518","1007","Camp Rock - A M Perez (Ella)","518032245","518032240"
"Camp Rock","518","1007","Camp Rock - A Stoner (Caitlyn)","518032246","518032240"
"Camp Rock","518","1007","Camp Rock - D Fathers (Brown)","518032302","518032240"
"Camp Rock","518","1007","Camp Rock - D Lovato (Mitchie)","518032297","518032240"
"Camp Rock","518","1007","Camp Rock - J Francis (Barron)","518032304","518032240"
"Camp Rock","518","1007","Camp Rock - J Jonas (Shane)","518032242","518032240"
"Camp Rock","518","1007","Camp Rock - J Ricci (TJ)","518032303","518032240"
"Camp Rock","518","1007","Camp Rock - J Richards (Peggy)","518032300","518032240"
"Camp Rock","518","1007","Camp Rock - Jason, Nate & Shane","518032248","518032240"
"Camp Rock","518","1007","Camp Rock - Jason, Nate, Shane & Mitchie","518032306","518032240"
"Camp Rock","518","1007","Camp Rock - K Jonas (Jason)","518032244","518032240"
"Camp Rock","518","1007","Camp Rock - Lola Catly Ela Bwn Miche Pegy Shane Nat Conie Tes Json Gio JBwn","518032454","518032240"
"Camp Rock","518","1007","Camp Rock - M Canals (Connie)","518032299","518032240"
"Camp Rock","518","1007","Camp Rock - M Martin (Tess)","518032247","518032240"
"Camp Rock","518","1007","Camp Rock - N Jonas (Nate)","518032243","518032240"
"Camp Rock","518","1007","Camp Rock - R Fegan (Sander)","518032298","518032240"
"Camp Rock","518","1007","Camp Rock - S Francis (Lola Dancer)","518032305","518032240"
"Camp Rock","518","1007","Camp Rock - Shane & Mitchie","518032307","518032240"
"Camp Rock 2","588","1007","Camp Rock 2 - A M Perez (Ella)","518032703","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - A Stoner (Caitlyn)","518032704","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - C Bridges (Dana)","518032694","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - D Lovato (Mitchie)","518032701","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - F Jonas","518032700","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - General (No Name, Likeness or Voice Royalty)","518032502","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - J Jonas (Shane)","518032698","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - Jason, Nate & Shane","518032705","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - Jason, Nate, Shane & Mitchie","518032706","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - K Jonas (Jason)","518032697","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - M Canals (Connie)","518032693","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - M Finley (Luke)","518032696","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - M Martin (Tess)","518032702","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - N Jonas (Nate)","518032699","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - R Fegan (Sander)","518032695","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 - Shane & Mitchie","518032708","518032501"
"Camp Rock 2","588","1007","Camp Rock 2 – Con Dana Sand Luke Jas Shan Nate FJon Mitc Tess Ella Cait","518032707","518032501"
"Captain America 2 Movie - No Likeness","790","1007","A.I.M. ( Captain America 2 Movie )","1159152560","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Baron Zemo ( Captain America 2 Movie )","1159152557","518034111"
"Captain America 2 Movie - No Likeness","790","1007","Batroc the Leaper ( Captain America 2 Movie )","1159152558","518034111"
