"entity_type","composite_key","mg_code","source_name","canonical_id","canonical_code","canonical_name","match_evidence","status"
"property","EDGEHOME/SP001/06/RV","RV","RAVENCLAW","f6c59d99-4a84-4553-9960-090109454f1e","RV","RAVENCLAW","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/S1","S1","SKELETON CREW","7d328b9c-3cf5-424a-a1a6-8ded8d7e1f1f","S1","SKELETON CREW","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SA","SA","ASTRONAUT","99bbe795-2528-4260-9ec2-ceaa31ce0c80","SA","ASTRONAUT","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SB","SB","SPONGEBOB","e26d6839-c6cd-4eee-ac76-f56e1479c4ed","SB","SPONGEBOB","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SC","SC","SONIC CLASSIC","35cc5a57-b5e6-4c98-8a66-f2785fb68dce","SC","SONIC CLASSIC","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SCM","SCM","SCREAM","515f068a-31ae-46ea-a316-4cad5eabbe9f","SCM","SCREAM","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SD","SD","STAR WARS DROIDS GROUP","02de0fab-dd7e-4082-ac99-659c46c77296","SD","STAR WARS DROIDS GROUP","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SE","SE","SPELLS","140be7c5-e211-432b-acc0-f76b18eba76d","SE","SPELLS","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SF","SF","SCARFACE","923af469-f81f-48ec-ae6c-d0c18bf85414","SF","SCARFACE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SG","SG","SUPERGIRL","a2fd8bd6-2db3-4648-ba6d-03b26c951904","SG","SUPERGIRL","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SH","SH","SHREK","7865b410-afb6-4307-9560-4dfa2e5c3165","SH","SHREK","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SJ","SJ","SPACE JAM & SPACE JAM 2","cd89a833-6170-44ed-b121-8727ddbcc699","SJ","SPACE JAM & SPACE JAM 2","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SK","SK","SKYE","96888ff8-0efc-4ca0-9a8f-0886f5d4e528","SK","SKYE","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SL","SL","SUPERMAN:LEGACY 2025 LIVE ACTION FILM","09a4f6b3-b9eb-4183-919c-3626afddfcf1","SL","SUPERMAN:LEGACY 2025 LIVE ACTION FILM","code and normalized name agree","proposed_pending_human_approval"
"property","EDGEHOME/SP001/06/SM","SM","SUPERMAN","8218937e-1417-4416-9e3f-8987f04f09b9","SM","SUPERMAN","code and normalized name agree","proposed_pending_human_approval"
